Wall time,Step,Value
1586947381.924624,996,102.49327850341797
1586947387.632955,999,100.55155181884766
1586947389.584877,1000,99.87952423095703
1586947394.470771,1002,101.98741912841797
1586947398.874233,1004,103.1552505493164
1586947400.845564,1005,103.00225067138672
1586947406.814166,1008,103.67752838134766
1586947408.828762,1009,104.54967498779297
1586947412.585856,1011,99.90711975097656
1586947414.526014,1012,99.0510025024414
1586947416.465673,1013,103.60671997070312
1586947418.407741,1014,98.43497467041016
1586947424.502463,1017,102.77423095703125
1586947442.159334,1025,100.42179107666016
1586947444.236707,1026,100.34159851074219
1586947446.168769,1027,103.86368560791016
1586947450.124957,1029,97.24087524414062
1586947454.673908,1031,105.38526153564453
1586947457.247343,1032,99.33871459960938
1586947459.784298,1033,101.86461639404297
1586947464.271612,1035,104.4220962524414
1586947469.046386,1037,94.58702850341797
1586947471.28398,1038,107.36221313476562
1586947473.253389,1039,99.9772720336914
1586947479.195955,1042,102.12115478515625
1586947481.141443,1043,99.25811004638672
1586947483.139238,1044,96.7398910522461
1586947493.185508,1049,107.14459991455078
1586947497.462373,1051,100.17900848388672
1586947499.393413,1052,106.31098175048828
1586947503.590222,1054,98.7129135131836
1586947505.730618,1055,102.35078430175781
1586947509.902153,1057,104.14021301269531
1586947521.955943,1063,96.54814147949219
1586947526.159874,1064,109.86885070800781
1586947531.941155,1066,102.39226531982422
1586947536.162828,1068,96.8498764038086
1586947545.410084,1072,96.91740417480469
1586947549.407218,1074,101.4826431274414
1586947553.524358,1076,99.53583526611328
1586947557.912474,1078,98.95196533203125
1586947562.009949,1080,105.79569244384766
1586947566.268926,1082,95.313232421875
1586947568.193781,1083,104.74541473388672
1586947570.119945,1084,99.52175903320312
1586947572.102667,1085,99.06200408935547
1586947574.377248,1086,97.94136810302734
1586947582.47873,1090,100.43994903564453
1586947586.477299,1092,100.08875274658203
1586947588.412009,1093,104.1732177734375
1586947599.88011,1099,102.01835632324219
1586947603.838171,1101,100.31474304199219
1586947607.84603,1103,104.0129623413086
1586947609.782254,1104,99.18586730957031
1586947611.599742,1105,100.20399475097656
1586947622.91514,1111,100.05432891845703
1586947628.66394,1114,97.04190826416016
1586947632.40816,1116,101.42107391357422
1586947638.320418,1119,97.05339813232422
1586947644.841822,1122,92.71851348876953
1586947646.827187,1123,99.94578552246094
1586947650.958729,1125,97.03669738769531
1586947652.971983,1126,98.31536102294922
1586947654.974637,1127,97.48355865478516
1586947657.039208,1128,100.4531021118164
1586947661.133865,1130,100.70320892333984
1586947663.138197,1131,95.81039428710938
1586947667.424427,1133,101.26480102539062
1586947669.830807,1134,98.22562408447266
1586947671.794494,1135,97.37025451660156
1586947677.85755,1138,96.56497955322266
1586947679.891984,1139,101.21713256835938
1586947684.390281,1141,102.4665756225586
1586947704.676102,1149,97.87467956542969
1586947706.948203,1150,95.78983306884766
1586947709.13974,1151,100.98494720458984
1586947711.212678,1152,97.25601959228516
1586947717.989437,1155,95.14734649658203
1586947720.38242,1156,99.49502563476562
1586947722.493655,1157,101.86675262451172
1586947728.66028,1160,100.66851043701172
1586947730.665052,1161,101.0178451538086
1586947732.607042,1162,98.59229278564453
1586947738.671926,1165,97.37093353271484
1586947767.287291,1177,96.69773864746094
1586947774.169259,1180,97.7623062133789
1586947780.731619,1182,97.64203643798828
1586947783.565159,1183,93.24724578857422
1586947788.695169,1185,100.01764678955078
1586947790.934892,1186,93.92191314697266
1586947797.902362,1189,97.45033264160156
1586947804.459737,1192,99.26998901367188
1586947806.44783,1193,92.07801055908203
1586947808.580293,1194,99.75862884521484
1586947810.601609,1195,105.27389526367188
1586947812.773636,1196,100.02503204345703
1586947814.970286,1197,99.06343841552734
1586947817.245287,1198,95.07243347167969
1586947819.514334,1199,98.45406341552734
1586947824.008414,1201,92.59215545654297
1586947828.524085,1203,98.42010498046875
1586947830.782112,1204,97.13031768798828
1586947835.147246,1206,95.8025131225586
1586947839.678115,1208,97.17729949951172
1586947843.669476,1210,96.32725524902344
1586947845.637487,1211,96.95230865478516
1586947847.596811,1212,98.98810577392578
1586947849.685305,1213,96.07476806640625
